date,name,price,person,level,review_count,review_group,score,city,city_details,day,month,peak
2023-08-01,호텔 캘리포니아 제주,76333,2인,2성급,29.0,500 미만,4.5,서귀포시,강정동,1,August,성수기
2023-08-01,호텔 컬리넌 제주,60800,2인,2성급,268.0,500 미만,4.2,제주시,연동,1,August,성수기
2023-08-01,호텔 케니 모슬포,80000,4인,비지니스,323.0,500 미만,4.8,서귀포시,대정읍,1,August,성수기
2023-08-01,호텔 케니 서귀포,54971,2인,비지니스,2471.0,500 이상,4.6,서귀포시,서귀동,1,August,성수기
2023-08-01,호텔 통 연동,68714,4인,비지니스,72.0,500 미만,3.6,제주시,연동,1,August,성수기
2023-08-01,호텔 휴식 서귀포,49000,2인,3성급,563.0,500 이상,4.6,서귀포시,서귀동,1,August,성수기
2023-08-01,호텔W신제주점,67500,2인,비지니스,19.0,500 미만,4.5,제주시,연동,1,August,성수기
2023-08-01,호텔아로하,133000,2인,관광,143.0,500 미만,4.3,서귀포시,성산읍,1,August,성수기
2023-08-01,호텔위드시티,70925,2인,비지니스,186.0,500 미만,4.7,제주시,노형동,1,August,성수기
2023-08-01,호텔이디,59750,4인,비지니스,90.0,500 미만,4.7,서귀포시,남원읍,1,August,성수기
2023-08-01,화이트하우스 호텔,136667,4인,관광,275.0,500 미만,4.2,제주시,용담삼동,1,August,성수기
2023-08-01,훈데르트힐즈,536000,4인,가족호텔,9.0,500 미만,4.8,제주시,우도면,1,August,성수기
2023-08-01,히든 클리프 호텔 & 네이쳐,402000,2인,5성급,1402.0,500 이상,4.8,서귀포시,상예동,1,August,성수기
2023-08-02,Premium 리벤시아 풀빌라&호텔,450000,4인,가족호텔,34.0,500 미만,4.2,제주시,한림읍,2,August,성수기
2023-08-02,[대규모특가] 탑스텐 빌라드애월,356350,2인,가족호텔,256.0,500 미만,4.6,제주시,애월읍,2,August,성수기
2023-08-02,[대규모특가] 탑스텐 빌라드애월,379350,4인,가족호텔,256.0,500 미만,4.6,제주시,애월읍,2,August,성수기
2023-08-02,갤러리 호텔 비앤비,52000,2인,비지니스,261.0,500 미만,4.3,제주시,연동,2,August,성수기
2023-08-02,골드원 호텔&스위트,428556,4인,4성급,147.0,500 미만,4.8,서귀포시,서호동,2,August,성수기
2023-08-02,골든튤립 제주성산호텔,124000,2인,비지니스,376.0,500 미만,4.5,서귀포시,성산읍,2,August,성수기
2023-08-02,그랜드 밀리언스 호텔 서귀포,50240,2인,비지니스,1326.0,500 이상,4.7,서귀포시,서호동,2,August,성수기
2023-08-02,그랜드 조선 제주,670924,2인,5성급,273.0,500 미만,4.8,서귀포시,색달동,2,August,성수기
2023-08-02,그랜드 하얏트 제주,716923,2인,5성급,800.0,500 이상,4.8,제주시,노형동,2,August,성수기
2023-08-02,글로스터호텔제주,109000,2인,비지니스,897.0,500 이상,4.7,제주시,연동,2,August,성수기
2023-08-02,까사로마 호텔,154000,2인,4성급,847.0,500 이상,4.8,서귀포시,서귀동,2,August,성수기
2023-08-02,노블피아 호텔,83081,2인,비지니스,1635.0,500 이상,4.7,서귀포시,서귀동,2,August,성수기
2023-08-02,노형호텔,80000,4인,비지니스,84.0,500 미만,4.5,제주시,노형동,2,August,성수기
2023-08-02,다인오세아노호텔,322140,2인,4성급,223.0,500 미만,4.5,제주시,애월읍,2,August,성수기
2023-08-02,더 그랜드 섬오름,369050,4인,4성급,238.0,500 미만,4.7,서귀포시,법환동,2,August,성수기
2023-08-02,더 베스트 제주 성산,111833,4인,비지니스,1634.0,500 이상,4.5,서귀포시,성산읍,2,August,성수기
2023-08-02,디 아넥스 호텔 (포도호텔 별관),318825,2인,4성급,48.0,500 미만,4.8,서귀포시,안덕면,2,August,성수기
2023-08-02,라마다 바이 윈덤 제주 더 함덕 호텔,196778,4인,비지니스,211.0,500 미만,4.5,제주시,조천읍,2,August,성수기
2023-08-02,라마다 제주시티 호텔,127334,2인,비지니스,1646.0,500 이상,4.6,제주시,이도이동,2,August,성수기
2023-08-02,라마다 프라자 제주 호텔,297500,2인,5성급,328.0,500 미만,4.7,제주시,삼도이동,2,August,성수기
2023-08-02,랜딩관 제주신화월드 호텔앤리조트,341132,4인,5성급,1395.0,500 이상,4.8,서귀포시,안덕면,2,August,성수기
2023-08-02,롯데시티호텔 제주,211255,2인,4성급,740.0,500 이상,4.8,제주시,연동,2,August,성수기
2023-08-02,롯데호텔 제주,780750,2인,5성급,644.0,500 이상,4.8,서귀포시,색달동,2,August,성수기
2023-08-02,루체빌,167648,2인,레지던스,370.0,500 미만,4.5,서귀포시,안덕면,2,August,성수기
2023-08-02,루체빌,217648,4인,레지던스,370.0,500 미만,4.5,서귀포시,안덕면,2,August,성수기
2023-08-02,리시온 호텔,74967,2인,1성급,205.0,500 미만,4.1,서귀포시,표선면,2,August,성수기
2023-08-02,머큐어 앰배서더 제주,415500,2인,비지니스,17.0,500 미만,4.8,서귀포시,안덕면,2,August,성수기
2023-08-02,메리어트관 제주신화월드 호텔앤리조트,437800,4인,5성급,275.0,500 미만,4.8,서귀포시,안덕면,2,August,성수기
2023-08-02,메종 글래드 제주,225133,4인,5성급,1296.0,500 이상,4.6,제주시,연동,2,August,성수기
2023-08-02,모멘토호텔,72000,4인,관광,71.0,500 미만,4.4,서귀포시,서귀동,2,August,성수기
2023-08-02,모슬포호텔,51333,2인,1성급,450.0,500 미만,4.3,서귀포시,대정읍,2,August,성수기
2023-08-02,미주 호텔,58000,4인,관광,27.0,500 미만,3.6,제주시,연동,2,August,성수기
2023-08-02,베니키아 호텔 제주,104250,4인,3성급,531.0,500 이상,4.3,제주시,애월읍,2,August,성수기
2023-08-02,베스트웨스턴 제주,115000,2인,4성급,2183.0,500 이상,4.5,제주시,노형동,2,August,성수기
2023-08-02,베이힐풀앤빌라,1386000,2인,4성급,35.0,500 미만,4.8,서귀포시,하예동,2,August,성수기
2023-08-02,베이힐풀앤빌라,1064800,4인,4성급,35.0,500 미만,4.8,서귀포시,하예동,2,August,성수기
